Admiration
Adoration
Appréciation esthétique
Amusement
Colère
Anxiété
Émerveillement
Malaise
Ennui
Calme
Confusion
Envie
Dégoût
Douleur empathique
Intérêt étonné, intrigué
Excitation
Peur
Horreur
Intérêt
Joie
Nostalgie
Soulagement
Romance
Tristesse
Satisfaction
Désir sexuel
Surprise
